"ID","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0007",766,"teria","micutes","illi","tobacillales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0018",764,"teria","micutes","stridia","illospirales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0023",709,"teria","micutes","illi","tobacillales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0026",704,"teria","micutes","illi","tobacillales",NA,NA
"abdbe368fbd4c7c608e05ef71713340a_order","S00PP-0008",699,"teria","micutes","stridia","hnospirales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0017",672,"teria","micutes","stridia","illospirales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0025",626,"teria","micutes","stridia","illospirales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0028",621,"teria","micutes","illi","tobacillales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0006",607,"teria","micutes","illi","tobacillales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0018",598,"teria","micutes","illi","tobacillales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0006",579,"teria","micutes","stridia","illospirales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0030",566,"teria","micutes","stridia","illospirales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0002",564,"teria","micutes","stridia","illospirales",NA,NA
"012ef658933550c9ae6719455ba247de_order","S00PP-0027",559,"teria","micutes","stridia","illospirales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0026",557,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef_order","S00PP-0005",556,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0030",534,"teria","micutes","illi","tobacillales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae_order","S00PP-0029",520,"teria","micutes","illi","tobacillales",NA,NA
