"ID","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0005",43,"teria","micutes","illi","9",NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_order","S00PP-0012",43,"teria","simicrobiota","simicrobia","simicrobiales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0011",42,"teria","micutes","stridia","oglobales",NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_order","S00PP-0008",42,"teria","simicrobiota","simicrobia","simicrobiales",NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_order","S00PP-0001",39,"teria","simicrobiota","simicrobia","simicrobiales",NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_order","S00PP-0007",36,"teria","simicrobiota","simicrobia","simicrobiales",NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_order","S00PP-0010",36,"teria","simicrobiota","simicrobia","simicrobiales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0024",27,"teria","micutes","stridia","oglobales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0010",23,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0013",19,"teria","micutes","stridia","oglobales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0021",19,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0014",19,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0014",16,"teria","micutes","stridia","oglobales",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0012",16,"teria","micutes","illi","9",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0003",16,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0001",12,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0013",12,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0005",11,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0012",11,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0011",10,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_order","S00PP-0024",8,"teria","simicrobiota","simicrobia","simicrobiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0_order","S00PP-0024",7,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0021",6,"teria","micutes","illi","9",NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_order","S00PP-0021",5,"teria","simicrobiota","simicrobia","simicrobiales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0002",5,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0016",4,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0022",4,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0027",4,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"f0b52d5da8a6dfae05a2c3125f970408_order","S00PP-0004",3,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0025",2,"teria","micutes","illi","9",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0007",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0006",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0016",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0018",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0002",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0017",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0023",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0025",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0029",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0027",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0030",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0026",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0015",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0022",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0003",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0028",0,"teria","micutes","stridia","oglobales",NA,NA
"032fc3717d8136fccddb555b0aa201a3_order","S00PP-0004",0,"teria","micutes","stridia","oglobales",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0027",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0026",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0016",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0004",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0022",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0019",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0028",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0006",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0029",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0018",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0030",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0017",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0002",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0003",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0015",0,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114_order","S00PP-0023",0,"teria","micutes","illi","9",NA,NA
